store_id,store_name,store_address,menu_name,proposed_price_krw,is_signature,is_active,display_order,evidence_status,evidence_tier,evidence_url,supporting_url,evidence_description,checked_at,decision,notes
4632fe97-56f9-4aac-8f28-b9c916fa925d,더백테라스 신용산점,서울 용산구 한강대로40길 26,더백버거,10800,true,true,0,VERIFIED_MENU_WITH_PRICE,A,https://www.shuttledelivery.co.kr/ko/restaurant/menu/1020/zlib/lib/inftrees,https://www.shuttledelivery.co.kr/ko/restaurant/menu/1020,지점 주소가 일치하는 실제 주문 페이지의 시그니쳐 버거와 표시 가격,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,셔틀 주문 채널 가격이며 현장 가격 동일 여부는 미확인
4632fe97-56f9-4aac-8f28-b9c916fa925d,더백테라스 신용산점,서울 용산구 한강대로40길 26,아메리칸 치즈버거,9500,false,true,1,VERIFIED_MENU_WITH_PRICE,A,https://www.shuttledelivery.co.kr/ko/restaurant/menu/1020/zlib/lib/inftrees,https://www.shuttledelivery.co.kr/ko/restaurant/menu/1020,지점 주소가 일치하는 실제 주문 페이지의 메뉴명과 표시 가격,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,셔틀 주문 채널 가격이며 현장 가격 동일 여부는 미확인
4632fe97-56f9-4aac-8f28-b9c916fa925d,더백테라스 신용산점,서울 용산구 한강대로40길 26,아메리칸 치즈버거 더블,12800,false,true,2,VERIFIED_MENU_WITH_PRICE,A,https://www.shuttledelivery.co.kr/ko/restaurant/menu/1020/zlib/lib/inftrees,https://www.shuttledelivery.co.kr/ko/restaurant/menu/1020,지점 주소가 일치하는 실제 주문 페이지의 메뉴명과 표시 가격,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,셔틀 주문 채널 가격이며 현장 가격 동일 여부는 미확인
4632fe97-56f9-4aac-8f28-b9c916fa925d,더백테라스 신용산점,서울 용산구 한강대로40길 26,베이컨 치즈버거,10800,false,true,3,VERIFIED_MENU_WITH_PRICE,A,https://www.shuttledelivery.co.kr/ko/restaurant/menu/1020/zlib/lib/inftrees,https://www.shuttledelivery.co.kr/ko/restaurant/menu/1020,지점 주소가 일치하는 실제 주문 페이지의 메뉴명과 표시 가격,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,셔틀 주문 채널 가격이며 현장 가격 동일 여부는 미확인
4632fe97-56f9-4aac-8f28-b9c916fa925d,더백테라스 신용산점,서울 용산구 한강대로40길 26,모짜렐라 치즈버거,10800,false,true,4,VERIFIED_MENU_WITH_PRICE,A,https://www.shuttledelivery.co.kr/ko/restaurant/menu/1020/zlib/lib/inftrees,https://www.shuttledelivery.co.kr/ko/restaurant/menu/1020,지점 주소가 일치하는 실제 주문 페이지의 메뉴명과 표시 가격,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,셔틀 주문 채널 가격이며 현장 가격 동일 여부는 미확인
3ae148d2-a483-4268-9655-70ecbcb36d9d,PPS,서울 용산구 한강대로50길 24,SMASHED BURGER,,false,true,0,VERIFIED_MENU_PRICE_UNKNOWN,B,https://www.daangn.com/kr/local-profile/pps-%ED%94%BC%ED%94%BC%EC%97%90%EC%8A%A4-aaask55ajnq3/,https://business.daangn.com/business-profile/about,주소 일치 업체 비즈프로필의 2026-09-04 수정 메뉴명,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,표시된 12900원부터는 세트 시작가이며 단품 확정가가 아님; 직접 페이지 열람은 403이고 검색 색인에서 확인
3ae148d2-a483-4268-9655-70ecbcb36d9d,PPS,서울 용산구 한강대로50길 24,FRITAS BURGER,,true,true,1,VERIFIED_MENU_PRICE_UNKNOWN,B,https://www.daangn.com/kr/local-profile/pps-%ED%94%BC%ED%94%BC%EC%97%90%EC%8A%A4-aaask55ajnq3/,https://business.daangn.com/business-profile/about,주소 일치 업체 비즈프로필의 대표 표시와 2026-09-04 수정 메뉴명,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,표시된 13900원부터는 세트 시작가이며 단품 확정가가 아님; 직접 페이지 열람은 403이고 검색 색인에서 확인
3ae148d2-a483-4268-9655-70ecbcb36d9d,PPS,서울 용산구 한강대로50길 24,DELUXE BURGER,,false,true,2,VERIFIED_MENU_PRICE_UNKNOWN,B,https://www.daangn.com/kr/local-profile/pps-%ED%94%BC%ED%94%BC%EC%97%90%EC%8A%A4-aaask55ajnq3/,https://business.daangn.com/business-profile/about,주소 일치 업체 비즈프로필의 2026-09-04 수정 메뉴명,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,표시된 15900원부터는 세트 시작가이며 단품 확정가가 아님; 직접 페이지 열람은 403이고 검색 색인에서 확인
45ea2502-223c-45b3-9bc1-ca2465faa354,노스트레스버거,서울 용산구 신흥로 62,Classic cheese burger,,false,true,0,VERIFIED_MENU_PRICE_UNKNOWN,B,https://www.daangn.com/kr/local-profile/%EB%85%B8%EC%8A%A4%ED%8A%B8%EB%A0%88%EC%8A%A4%EB%B2%84%EA%B1%B0-sq9ttm4vov5h/,https://business.daangn.com/business-profile/about,주소와 공식 인스타그램이 연결된 업체 비즈프로필의 2026-06-02 수정 메뉴명,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,표시된 7500원부터는 확정 가격 아님; 직접 페이지 열람은 403이고 검색 색인에서 확인
45ea2502-223c-45b3-9bc1-ca2465faa354,노스트레스버거,서울 용산구 신흥로 62,Double cheese burger,,false,true,1,VERIFIED_MENU_PRICE_UNKNOWN,B,https://www.daangn.com/kr/local-profile/%EB%85%B8%EC%8A%A4%ED%8A%B8%EB%A0%88%EC%8A%A4%EB%B2%84%EA%B1%B0-sq9ttm4vov5h/,https://business.daangn.com/business-profile/about,주소와 공식 인스타그램이 연결된 업체 비즈프로필의 2026-06-02 수정 메뉴명,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,표시된 10500원부터는 확정 가격 아님; 직접 페이지 열람은 403이고 검색 색인에서 확인
45ea2502-223c-45b3-9bc1-ca2465faa354,노스트레스버거,서울 용산구 신흥로 62,Triple cheese burger,,false,true,2,VERIFIED_MENU_PRICE_UNKNOWN,B,https://www.daangn.com/kr/local-profile/%EB%85%B8%EC%8A%A4%ED%8A%B8%EB%A0%88%EC%8A%A4%EB%B2%84%EA%B1%B0-sq9ttm4vov5h/,https://business.daangn.com/business-profile/about,주소와 공식 인스타그램이 연결된 업체 비즈프로필의 2026-06-02 수정 메뉴명,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,표시된 13500원부터는 확정 가격 아님; 직접 페이지 열람은 403이고 검색 색인에서 확인
d81b00f3-a142-42ad-b676-225122a5abb7,N버거,서울 용산구 남산공원길 105,서울 불고기 버거,,true,true,0,VERIFIED_MENU_PRICE_UNKNOWN,B,https://www.nseoultower.co.kr/media/news/view.asp?idx=72,https://www.nseoultower.co.kr/eng/visit/restaurant5.asp,CJ푸드빌의 2026-05-20 공식 발표에서 N버거 대표 메뉴로 명시,2026-09-24T08:35:46Z,HOLD_FOR_USER_APPROVAL,공식 메뉴 PDF의 본문은 열람되지 않아 현재 가격 미확인
